Posição;Município;Score
1;Águas de São Pedro;0.5680751715371495
2;Rio das Pedras;0.5654832830138814
3;Cosmópolis;0.5457524239468542
4;Santa Bárbara D Oeste;0.5347131860269471
5;Piracicaba;0.5325648407132801
6;Dois Córregos;0.5300423012009458
7;Cordeirópolis;0.52601047001452
8;Americana;0.5219467392588566
9;Rafard;0.5192770534226446
10;Pedreira;0.517297723155898
11;Engenheiro Coelho;0.5165540506893349
12;Hortolândia;0.5155802240655301
13;Jundiaí;0.5141586697424484
14;Sumaré;0.5139840024875143
15;Nova Odessa;0.5127737056159185
16;Paulínia;0.5125610382792181
17;Campinas;0.5095624877102957
18;Capivari;0.5081899659912953
19;Indaiatuba;0.5072676042789033
20;Limeira;0.5056631921207716
21;Botucatu;0.5042192403128086
22;Iracemápolis;0.5022116034521068
23;Jaguariúna;0.4993247936699369
24;Santa Gertrudes;0.49683979097957176
25;Brotas;0.4964879726116124
26;Itú;0.4958342209485269
27;Itirapina;0.4919872546028742
28;Santo Antônio de Posse;0.4902010290034317
29;Bom Jesus dos Perdões;0.4894050312429654
30;Santa Maria da Serra;0.48767628280926456
31;Valinhos;0.48232637001781264
32;Vinhedo;0.48160256088153847
33;Mogi Mirim;0.4811719604287907
34;Mombuca;0.4780672713580246
35;Monte Mor;0.4776256351355191
36;Ipeúna;0.4768787316305536
37;Várzea Paulista;0.47502404944963655
38;Amparo;0.47443162250576315
39;Torrinha;0.4732778096094423
40;Holambra;0.4704926443421159
41;Morungaba;0.4692542180207449
42;Itatiba;0.4679933451099388
43;Rio Claro;0.46798440973013167
44;Saltinho;0.46789916306037127
45;Tietê;0.4630571034763259
46;Artur Nogueira;0.45863676858559815
47;Bragança Paulista;0.44966810519736133
48;Louveira;0.44943627067402353
49;Elias Fausto;0.446299503192475
50;Charqueada;0.44512335706925665
51;Anhembi;0.44185980673595454
52;São Pedro;0.4395880313520413
53;Itupeva;0.42066963168732024
54;Cabreúva;0.42062924486026804
55;Campo Limpo Paulista;0.4134502935390508
56;Toledo;0.40979415946660125
57;Analândia;0.4009111521091335
58;Corumbataí;0.38990707935666563
59;Serra Negra;0.38836399083533635
60;Joanópolis;0.3832448575407101
61;Atibaia;0.3831762242734187
62;Monte Alegre do Sul;0.3620214003790248
63;Piracaia;0.3391537550334465
64;Sapucaí-Mirim;0.3375262327432809
65;Socorro;0.32174853149505567
66;Extrema;0.2930568715896419
67;Pinhalzinho;0.2880491516203196
68;Camanducaia;0.2766337464115645
69;Mairiporã;0.27592085786293225
70;Vargem;0.27533708851781685
71;Salto;0.2596426385914937
72;Tuiuti;0.25440843208481084
73;Pedra Bela;0.2519548465686475
74;Jarinú;0.2509075926898587
75;Itapeva;0.2503795395192028
76;Nazaré Paulista;0.19339443515259655
